service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a0625245,1,1,someone003,412
Abgabe,15,a0625245,1,6,someone003,412
Abgabe,15,a0625245,1,3,someone003,561
Abgabe,15,a0625245,1,15,someone003,412
Abgabe,15,a0625245,2,13,someone001,232
Abgabe,15,a0625245,3,2,someone004,284
Abgabe,15,a0625245,4,3,someone003,528
Abgabe,15,a0625245,7,8,someone003,406
Abgabe,15,a0625245,9,1,someone004,43
Abgabe,15,a0625245,10,5,someone003,471
Abgabe,15,a0625245,10,11,someone003,406
Abgabe,15,a0625245,8,2,someone001,232
Abgabe,15,a0901082,1,1,someone003,412
Abgabe,15,a0901082,1,11,someone003,412
Abgabe,15,a0901082,3,4,someone004,186
Abgabe,15,a0901082,2,7,someone001,516
Abgabe,15,a0901082,4,3,someone003,412
Abgabe,15,a0806960,1,1,someone003,412
Abgabe,15,a0806960,1,2,someone003,471
Abgabe,15,a0806960,3,2,someone004,416
Abgabe,15,a0806960,2,1,someone001,232
Abgabe,15,a0806960,4,3,someone003,540
Abgabe,15,a0804058,1,1,someone003,412
Abgabe,15,a0804058,1,6,someone003,522
Abgabe,15,a0804058,1,3,someone003,512
Abgabe,15,a0804058,1,13,someone003,548
Abgabe,15,a0804058,1,15,someone003,450
Abgabe,15,a0804058,2,12,someone001,232
Abgabe,15,a0804058,3,1,someone004,152
Abgabe,15,a0805766,1,3,someone003,663
Abgabe,15,a0805766,1,2,someone003,455
Abgabe,15,a0805766,1,4,someone003,412
Abgabe,15,a0805766,1,7,someone003,412
Abgabe,15,a0805766,1,11,someone003,412
Abgabe,15,a0805766,2,2,someone003,412
Abgabe,15,a0805766,2,3,someone003,412
Abgabe,15,a0968376,1,1,someone003,406
Abgabe,15,a0968376,1,2,someone003,406
Abgabe,15,a0968376,1,6,someone003,523
Abgabe,15,a0968376,2,7,someone003,406
Abgabe,15,a0968376,2,12,someone003,406
Abgabe,15,a0968376,2,13,someone003,406
Abgabe,15,a0968376,3,4,someone003,406
Abgabe,15,a0968376,6,4,someone003,589
Abgabe,15,a0968376,8,1,someone003,406
Abgabe,15,a0968376,9,13,someone003,406
Abgabe,15,a0968376,10,6,someone003,687
Abgabe,15,a0968376,12,3,someone003,820
Abgabe,15,a0500355,1,11,someone003,412
Abgabe,15,a0500355,2,2,someone001,304
Abgabe,15,a0500355,3,2,someone004,155
Abgabe,15,a0500355,4,2,someone003,501
Abgabe,15,a0100738,1,1,someone003,470
Abgabe,15,a0100738,1,2,someone003,412
Abgabe,15,a0100738,1,3,someone003,406
Abgabe,15,a0100738,1,6,someone003,517
Abgabe,15,a0100738,1,13,someone003,412
Abgabe,15,a0100738,1,15,someone003,412
Abgabe,15,a0100738,2,6,someone001,232
Abgabe,15,a0100738,3,1,someone004,146
Abgabe,15,a0100738,4,3,someone003,642
Abgabe,15,a0100738,4,11,someone003,542
Abgabe,15,a0100738,7,7,someone003,709
Abgabe,15,a0100738,9,1,someone004,259
Abgabe,15,a0100738,10,11,someone003,543
Abgabe,15,a0100738,8,5,someone001,233
Abgabe,15,a0442073,1,1,someone003,412
Abgabe,15,a0442073,1,6,someone003,412
Abgabe,15,a0442073,1,3,someone003,484
Abgabe,15,a0442073,1,15,someone003,412
Abgabe,15,a0442073,3,1,someone004,330
Abgabe,15,a0442073,3,2,someone004,159
Abgabe,15,a0442073,2,12,someone001,232
Abgabe,15,a0442073,4,3,someone003,418
Abgabe,15,a0442073,7,13,someone003,406
Abgabe,15,a0442073,9,1,someone004,43
Abgabe,15,a0442073,10,6,someone003,406
Abgabe,15,a0442073,8,2,someone001,232
Abgabe,15,a1046112,1,1,someone003,412
Abgabe,15,a1046112,2,2,someone003,406
Abgabe,15,a1046112,3,2,someone003,406
Abgabe,15,a1046112,4,3,someone003,756
Abgabe,15,a1046112,5,4,someone003,406
Abgabe,15,a1046112,6,3,someone003,406
Abgabe,15,a1046112,7,2,someone003,406
Abgabe,15,a1046112,8,3,someone003,509
Abgabe,15,a1046112,9,10,someone003,472
Abgabe,15,a1046112,10,5,someone003,406
Abgabe,15,a1007950,1,1,someone003,412
Abgabe,15,a1007950,1,15,someone003,726
Abgabe,15,a1007950,2,13,someone003,412
Abgabe,15,a1007950,3,2,someone003,418
Abgabe,15,a1007950,4,2,someone003,618
Abgabe,15,a1007950,5,3,someone003,850
Abgabe,15,a1007950,6,1,someone003,418
Abgabe,15,a1007950,7,9,someone003,856
Abgabe,15,a1007950,8,5,someone003,681
Abgabe,15,a1007950,11,1,someone003,412
Abgabe,15,a1007950,12,3,someone003,469
Abgabe,15,a0649314,1,1,someone003,412
Abgabe,15,a0649314,2,1,someone003,406
Abgabe,15,a0649314,3,2,someone003,511
Abgabe,15,a0649314,4,3,someone003,482
Abgabe,15,a0649314,5,4,someone004,590
Abgabe,15,a0649314,6,9,someone003,724
Abgabe,15,a0649314,6,3,someone003,406
Abgabe,15,a0649314,7,3,someone003,666
Abgabe,15,a0649314,9,1,someone003,488
Abgabe,15,a0649314,8,2,someone003,939
Abgabe,15,a0649314,10,2,someone003,406
Abgabe,15,a0649314,11,1,someone003,658
Abgabe,15,a0649314,12,1,someone003,406
Abgabe,15,a0754148,1,1,someone003,505
Abgabe,15,a0754148,1,6,someone003,412
Abgabe,15,a0754148,1,7,someone003,412
Abgabe,15,a0754148,1,2,someone003,585
Abgabe,15,a0754148,2,2,someone003,493
Abgabe,15,a0754148,2,12,someone003,406
Abgabe,15,a0754148,3,2,someone003,692
Abgabe,15,a0649474,1,1,someone003,412
Abgabe,15,a0649474,1,3,someone003,514
Abgabe,15,a0649474,2,3,someone003,477
Abgabe,15,a0649474,2,6,someone003,460
Abgabe,15,a0649474,3,2,someone003,765
Abgabe,15,a1005724,1,7,someone003,412
Abgabe,15,a1005724,1,15,someone003,412
Abgabe,15,a1005724,2,2,someone003,493
Abgabe,15,a1005724,2,3,someone003,412
Abgabe,15,a1005724,2,13,someone003,610
Abgabe,15,a1005724,3,2,someone003,412
Abgabe,15,a1005724,4,3,someone003,502
Abgabe,15,a1005724,5,4,someone003,485
Abgabe,15,a1005724,6,12,someone003,406
Abgabe,15,a1005724,7,5,someone003,551
Abgabe,15,a1005724,8,3,someone003,658
Abgabe,15,a1005724,9,10,someone003,485
Abgabe,15,a1005724,10,5,someone003,500
Abgabe,15,a1005724,11,9,someone003,406
Abgabe,15,a1046662,1,6,someone003,418
Abgabe,15,a1046662,2,3,someone003,488
Abgabe,15,a1046662,3,11,someone003,590
Abgabe,15,a0726362,1,4,someone003,412
Abgabe,15,a0726362,2,3,someone003,406
Abgabe,15,a0726362,3,2,someone003,590
Abgabe,15,a0726362,4,3,someone003,873
Abgabe,15,a0726362,6,9,someone003,658
Abgabe,15,a0726362,9,1,someone003,406
Abgabe,15,a0726362,8,3,someone003,538
Abgabe,15,a0726362,10,6,someone003,891
Abgabe,15,a0725571,1,1,someone003,412
Abgabe,15,a0725571,1,4,someone003,412
Abgabe,15,a0725571,2,7,someone001,385
Abgabe,15,a0725571,3,8,someone004,683
Abgabe,15,a0846907,1,1,someone003,412
